Time,Live threads
41772.068631,56
41772.068669,56
41772.068715,57
41772.068762,56
41772.068808,56
41772.068854,56
41772.068900,56
41772.068949,56
41772.068993,56
41772.069040,56
41772.069086,57
41772.069132,56
41772.069178,56
41772.069225,57
41772.069271,56
41772.069319,64
41772.069364,65
41772.069410,65
41772.069456,65
41772.069503,65
41772.069549,65
41772.069595,66
41772.069642,65
41772.069688,63
41772.069734,62
41772.069781,61
41772.069827,60
41772.069873,59
41772.069919,58
41772.069966,57
41772.070013,56
41772.070059,56
41772.070105,56
41772.070151,57
41772.070198,56
41772.070244,55
41772.070290,55
41772.070336,55
41772.070383,55
41772.070429,55
41772.070475,55
41772.070522,55
41772.070568,55
41772.070614,55
41772.070660,55
41772.070707,55
41772.070753,55
41772.070799,55
41772.070846,55
41772.070892,55
41772.070939,55
41772.070984,55
41772.071031,55
41772.071077,55
41772.071123,55
41772.071170,55
41772.071216,55
41772.071262,55
41772.071309,55
41772.071355,55
41772.071401,55
41772.071448,55
41772.071494,55
41772.071540,56
41772.071586,58
41772.071633,59
41772.071679,59
41772.071725,58
41772.071771,58
41772.071818,57
41772.071864,56
41772.071911,55
41772.071957,55
41772.072003,55
41772.072049,55
41772.072096,55
41772.072142,55
41772.072188,55
41772.072235,55
41772.072281,55
41772.072327,55
41772.072373,55
41772.072420,56
41772.072466,55
41772.072514,58
41772.072559,57
41772.072605,56
41772.072651,55
41772.072698,58
41772.072744,58
41772.072790,62
41772.072836,62
41772.072883,62
41772.072929,61
41772.072975,60
41772.073022,59
41772.073068,59
41772.073114,58
41772.073161,58
41772.073207,58
41772.073253,59
41772.073299,58
41772.073346,58
41772.073392,57
41772.073438,56
41772.073485,56
41772.073531,55
41772.073577,55
41772.073624,55
41772.073670,55
41772.073716,55
41772.073762,55
41772.073808,55
41772.073855,55
41772.073901,55
41772.073948,55
41772.073994,55
41772.074040,55
41772.074086,55
41772.074133,55
41772.074179,55
41772.074225,55
41772.074271,55
41772.074318,55
41772.074364,55
41772.074410,55
41772.074457,55
41772.074503,55
41772.074549,55
41772.074596,55
41772.074642,55
41772.074688,55
41772.074735,55
41772.074781,55
41772.074827,55
41772.074873,55
41772.074920,55
41772.074966,55
41772.075012,55
41772.075059,55
41772.075105,55
41772.075151,55
41772.075197,55
41772.075244,55
41772.075290,55
41772.075336,55
41772.075383,55
41772.075429,55
41772.075475,55
41772.075522,55
41772.075568,55
41772.075614,55
41772.075660,55
41772.075707,55
41772.075753,55
41772.075799,55
41772.075846,55
41772.075892,55
41772.075938,56
41772.075984,55
41772.076031,55
41772.076077,55
41772.076123,55
41772.076170,56
41772.076216,55
41772.076263,62
41772.076308,62
41772.076355,62
41772.076401,62
41772.076448,61
41772.076494,60
41772.076540,60
41772.076587,59
41772.076633,58
41772.076679,58
41772.076725,57
41772.076772,56
41772.076818,58
41772.076864,58
41772.076910,58
41772.076957,58
41772.077004,59
41772.077049,59
41772.077095,58
41772.077142,57
41772.077188,56
41772.077235,56
41772.077281,55
41772.077327,55
41772.077373,56
41772.077420,55
41772.077466,55
41772.077512,55
41772.077559,56
41772.077605,55
41772.077651,55
41772.077698,55
41772.077744,55
41772.077790,55
41772.077836,55
41772.077883,55
41772.077929,55
41772.077975,55
41772.078022,55
41772.078068,55
41772.078114,55
41772.078160,55
41772.078207,55
41772.078253,55
41772.078300,55
41772.078346,55
41772.078392,55
41772.078438,55
41772.078485,55
41772.078531,55
41772.078577,55
41772.078623,55
41772.078670,55
41772.078716,55
41772.078762,55
41772.078808,55
41772.078855,55
41772.078901,55
41772.078947,55
41772.078994,55
41772.079040,55
41772.079086,55
41772.079133,56
41772.079179,55
41772.079225,55
41772.079271,55
41772.079318,55
41772.079364,55
41772.079410,55
41772.079457,55
41772.079503,55
41772.079549,55
41772.079596,55
41772.079642,56
41772.079689,55
41772.079735,61
41772.079781,61
41772.079827,61
41772.079873,61
41772.079920,61
41772.079966,61
41772.080012,60
41772.080058,59
41772.080105,58
41772.080151,57
41772.080197,56
41772.080244,58
41772.080290,58
41772.080336,59
41772.080383,59
41772.080429,59
41772.080475,59
41772.080521,59
41772.080568,59
41772.080614,59
41772.080660,60
41772.080707,60
41772.080753,59
41772.080799,59
41772.080845,58
41772.080892,58
41772.080938,57
41772.080985,58
41772.081031,58
41772.081077,58
41772.081123,57
41772.081170,56
41772.081216,58
41772.081262,61
41772.081309,61
41772.081355,60
41772.081401,60
41772.081448,59
41772.081494,58
41772.081540,57
41772.081586,56
41772.081633,55
41772.081679,55
41772.081725,56
41772.081772,55
41772.081818,55
41772.081864,55
41772.081910,55
41772.081957,55
41772.082003,55
41772.082049,55
41772.082096,56
41772.082142,55
41772.082188,55
41772.082234,55
41772.082281,56
41772.082327,55
41772.082373,55
41772.082420,55
41772.082466,55
41772.082512,55
41772.082558,55
41772.082605,55
41772.082651,55
41772.082697,55
41772.082744,55
41772.082790,55
41772.082836,55
41772.082883,55
41772.082929,55
41772.082975,55
41772.083022,55
41772.083068,55
41772.083114,56
41772.083160,55
41772.083207,62
41772.083253,62
41772.083299,62
41772.083346,62
41772.083392,62
41772.083438,62
41772.083485,62
41772.083531,61
41772.083577,60
41772.083623,59
41772.083670,58
41772.083716,58
41772.083762,57
41772.083809,56
41772.083855,55
41772.083901,55
41772.083947,55
41772.083994,55
41772.084040,56
41772.084086,56
41772.084133,55
41772.084179,55
41772.084225,58
41772.084271,58
41772.084318,58
41772.084364,58
41772.084410,59
41772.084457,59
41772.084503,58
41772.084549,57
41772.084595,56
41772.084642,55
41772.084688,55
41772.084734,55
41772.084781,56
41772.084827,55
41772.084873,56
41772.084920,55
41772.084966,55
41772.085012,55
41772.085059,55
41772.085105,55
41772.085151,55
41772.085197,56
41772.085244,55
41772.085290,55
41772.085336,55
41772.085383,55
41772.085429,55
41772.085475,55
41772.085521,55
41772.085568,55
41772.085614,55
41772.085660,55
41772.085707,55
41772.085753,55
41772.085799,55
41772.085846,55
41772.085892,55
41772.085938,55
41772.085984,55
41772.086031,55
41772.086077,55
41772.086123,55
41772.086170,55
41772.086216,55
41772.086262,56
41772.086308,55
41772.086355,55
41772.086401,55
41772.086448,55
41772.086494,55
41772.086540,55
41772.086586,55
41772.086633,55
41772.086679,55
41772.086726,62
41772.086771,62
41772.086818,62
41772.086864,61
41772.086910,61
41772.086957,61
41772.087003,60
41772.087049,59
41772.087096,58
41772.087142,57
41772.087188,56
41772.087234,56
41772.087281,55
41772.087327,55
41772.087373,55
41772.087420,55
41772.087466,55
41772.087512,55
41772.087558,55
41772.087605,55
41772.087651,55
41772.087697,55
41772.087744,55
41772.087790,55
41772.087836,55
41772.087883,55
41772.087929,55
41772.087975,59
41772.088022,59
41772.088068,59
41772.088114,59
41772.088161,60
41772.088207,60
41772.088253,59
41772.088299,59
41772.088346,59
41772.088392,58
41772.088438,57
41772.088484,56
41772.088531,55
41772.088577,58
41772.088623,57
41772.088670,57
41772.088716,56
41772.088763,59
41772.088808,59
41772.088855,59
41772.088901,59
41772.088947,58
41772.088994,57
41772.089040,57
41772.089086,56
41772.089133,55
41772.089179,55
