sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/,126,8,4,271,23.996362158156323,0.0,0.013442383065669881,0.04695644943935661,3577.0
/login,64,31,25,135,16.96365600335022,0.0,0.0068280803524228325,0.3699765999552548,55485.0
/rtconsole,64,14,12,88,9.603059408334408,0.0,0.006828158300607962,0.3683538014491059,55241.0
/assets/images/basepanel.svg,128,6,3,160,19.257238835269032,0.0,0.013656431704558464,9.243763891818443E-4,69.3125
/orderStatusThroughput,64,16,12,79,9.93887569094211,0.0,0.006828336786800227,0.25218168027657323,37818.0
/services/reports/v1/historical/orderThroughputByStatus,64,747,466,3384,537.6363844048666,0.0,0.006828031544652232,4.7871835927523,717934.0
/services/reports/v1/historical/jeaTaskErrors,64,1255,449,1811,284.3539033211684,0.0,0.006828998359866659,6.935701459239575E-4,104.0
/logout,64,178,16,357,107.50535960476576,0.0,0.006985696132260185,0.028584049603681813,4190.0
TOTAL,638,228,3,3384,451.6044505760244,0.0,0.06739683425026832,5.796555866944599,88070.50470219436
