Time,Live threads
41772.090834,371
41772.090880,374
41772.090927,374
41772.090973,374
41772.091019,373
41772.091065,374
41772.091111,324
41772.091158,173
41772.091204,175
41772.091251,174
41772.091297,173
41772.091343,172
41772.091389,172
41772.091436,172
41772.091482,174
41772.091528,173
41772.091574,172
41772.091621,172
41772.091667,172
41772.091714,172
41772.091760,172
41772.091806,172
41772.091853,163
41772.091899,161
41772.091945,162
41772.091991,163
41772.092037,163
41772.092084,163
41772.092130,163
41772.092176,163
41772.092223,163
41772.092269,163
41772.092315,156
41772.092362,165
41772.092408,165
41772.092454,165
41772.092500,165
41772.092547,165
41772.092593,165
41772.092639,165
41772.092686,166
41772.092732,166
41772.092778,166
41772.092824,166
41772.092871,166
41772.092917,166
41772.092964,166
41772.093010,164
41772.093056,162
41772.093103,162
41772.093149,161
41772.093195,161
41772.093241,161
41772.093288,161
41772.093334,161
41772.093380,161
41772.093426,161
41772.093473,161
41772.093519,157
41772.093565,157
41772.093612,158
41772.093659,170
41772.093705,178
41772.093751,179
41772.093797,177
41772.093843,178
41772.093889,178
41772.093936,178
41772.093989,309
41772.094028,309
41772.094075,308
41772.094121,307
41772.094167,306
41772.094213,305
41772.094260,304
41772.094306,303
41772.094352,303
41772.094399,303
41772.094445,303
41772.094491,303
41772.094537,303
41772.094584,303
41772.094630,303
41772.094677,161
41772.094723,161
41772.094769,161
41772.094815,161
41772.094862,162
41772.094908,162
41772.094954,164
41772.095000,164
41772.095047,164
41772.095093,154
41772.095139,155
41772.095186,155
41772.095232,157
41772.095278,157
41772.095324,157
41772.095371,157
41772.095417,157
41772.095463,157
41772.095510,157
41772.095556,156
41772.095603,158
41772.095649,155
41772.095695,155
41772.095741,155
41772.095787,155
41772.095834,154
41772.095880,153
41772.095926,152
41772.095973,152
41772.096019,151
41772.096065,150
41772.096111,150
41772.096158,152
41772.096204,152
41772.096251,152
41772.096297,148
41772.096343,148
41772.096389,148
41772.096436,148
41772.096482,148
41772.096529,154
41772.096574,154
41772.096621,154
41772.096667,154
41772.096713,154
41772.096760,154
41772.096806,156
41772.096852,154
41772.096899,154
41772.096945,154
41772.096991,154
41772.097038,155
41772.097084,155
41772.097131,165
41772.097176,165
41772.097223,173
41772.097269,173
41772.097315,174
41772.097361,173
41772.097408,175
41772.097454,174
41772.097506,294
41772.097547,294
41772.097593,293
