Time,CPU Usage
41772.075649,4.6
41772.075695,5.8
41772.075741,7.0
41772.075788,12.5
41772.075834,4.6
41772.075880,4.9
41772.075927,5.8
41772.075973,7.2
41772.076019,5.1
41772.076066,4.8
41772.076112,4.6
41772.076158,15.0
41772.076204,7.1
41772.076251,4.6
41772.076297,5.8
41772.076343,6.1
41772.076390,7.9
41772.076436,24.6
41772.076482,11.7
41772.076529,8.6
41772.076575,8.9
41772.076621,7.2
41772.076667,6.4
41772.076714,6.7
41772.076760,11.8
41772.076806,4.1
41772.076853,6.7
41772.076899,7.4
41772.076945,4.1
41772.076991,13.2
41772.077038,6.1
41772.077084,5.5
41772.077130,4.6
41772.077177,3.9
41772.077223,6.0
41772.077269,8.4
41772.077316,4.6
41772.077362,6.9
41772.077408,9.6
41772.077454,6.5
41772.077501,4.1
41772.077547,4.4
41772.077593,6.1
41772.077640,10.7
41772.077686,4.9
41772.077732,4.9
41772.077779,4.8
41772.077825,8.7
41772.077871,5.6
41772.077917,5.0
41772.077964,6.7
41772.078010,8.4
41772.078056,6.7
41772.078103,6.0
41772.078149,4.2
41772.078195,4.1
41772.078241,7.6
41772.078289,9.7
41772.078334,7.8
41772.078380,6.2
41772.078427,5.2
41772.078473,5.3
41772.078519,5.1
41772.078566,4.4
41772.078612,5.4
41772.078658,9.5
41772.078704,11.9
41772.078751,6.8
41772.078797,7.5
41772.078843,4.3
41772.078890,4.7
41772.078936,7.9
41772.078982,4.5
41772.079029,4.9
41772.079075,13.2
41772.079121,6.1
41772.079167,5.3
41772.079214,4.9
41772.079260,4.1
41772.079306,5.0
41772.079353,4.9
41772.079399,6.9
41772.079445,12.0
41772.079491,13.9
41772.079538,5.5
41772.079584,4.8
41772.079630,4.6
41772.079677,5.0
41772.079723,3.5
41772.079769,4.1
41772.079816,12.6
41772.079862,6.9
41772.079908,10.8
41772.079954,14.6
41772.080001,7.3
41772.080047,5.1
41772.080093,6.0
41772.080140,6.8
41772.080186,11.5
41772.080232,5.0
41772.080279,7.2
41772.080325,8.5
41772.080371,8.1
41772.080417,5.7
41772.080464,4.9
41772.080510,9.0
41772.080556,11.6
41772.080603,5.2
41772.080649,6.4
41772.080695,6.9
41772.080741,8.4
41772.080788,7.6
41772.080834,13.6
41772.080880,7.4
41772.080927,12.6
41772.080973,4.3
41772.081019,6.1
41772.081066,4.6
41772.081112,6.4
41772.081158,7.5
41772.081204,5.4
41772.081251,5.8
41772.081297,10.5
41772.081343,5.0
41772.081390,5.0
41772.081436,4.4
41772.081482,6.2
41772.081529,8.9
41772.081575,12.7
41772.081621,5.4
41772.081667,8.9
41772.081714,4.6
41772.081760,4.4
41772.081806,4.8
41772.081853,4.9
41772.081899,4.9
41772.081945,8.1
41772.081991,9.6
41772.082038,7.6
41772.082084,4.3
41772.082130,4.6
41772.082177,5.6
41772.082223,9.5
41772.082269,6.2
41772.082316,5.8
41772.082362,10.1
41772.082408,9.1
41772.082454,3.8
41772.082501,5.1
41772.082547,4.6
41772.082593,4.8
41772.082640,5.9
41772.082686,5.5
41772.082732,7.8
41772.082779,10.5
41772.082825,6.6
41772.082871,10.1
41772.082917,6.4
41772.082964,5.7
41772.083010,5.1
41772.083057,4.6
41772.083103,8.6
41772.083149,5.2
41772.083195,7.6
41772.083241,6.7
41772.083288,6.1
41772.083334,7.3
41772.083380,5.0
41772.083427,9.2
41772.083473,20.4
41772.083519,6.3
41772.083566,6.5
41772.083612,9.2
41772.083658,8.8
41772.083704,8.4
41772.083751,3.9
41772.083797,4.7
41772.083843,9.1
41772.083890,4.7
41772.083936,5.1
41772.083982,5.0
41772.084029,8.1
41772.084075,7.4
41772.084121,4.7
41772.084167,4.3
41772.084214,9.9
41772.084260,6.2
41772.084306,6.7
41772.084353,6.5
41772.084399,8.4
41772.084445,7.6
41772.084491,6.6
41772.084538,4.8
41772.084584,9.3
41772.084630,4.5
41772.084677,4.5
41772.084723,6.4
41772.084769,5.0
41772.084816,4.8
41772.084862,9.2
41772.084908,6.9
41772.084956,15.1
41772.085001,6.1
41772.085047,6.3
41772.085093,4.0
41772.085140,5.1
41772.085186,4.9
41772.085232,5.1
41772.085279,8.9
41772.085325,11.0
41772.085371,5.1
41772.085417,4.4
41772.085464,5.5
41772.085510,4.1
41772.085556,4.7
41772.085603,5.4
41772.085649,6.4
41772.085695,19.5
41772.085741,6.6
41772.085788,4.9
41772.085834,4.6
41772.085880,3.9
41772.085927,4.6
41772.085973,4.5
41772.086019,4.2
41772.086066,11.3
41772.086112,9.7
41772.086158,5.8
41772.086204,5.0
41772.086251,5.3
41772.086298,8.7
41772.086343,6.6
41772.086390,6.3
41772.086436,10.9
41772.086482,6.0
41772.086529,8.5
41772.086575,4.3
41772.086621,4.8
41772.086667,4.8
41772.086714,4.1
41772.086760,6.4
41772.086806,12.6
41772.086853,4.7
41772.086899,9.5
41772.086945,10.0
41772.086991,12.9
41772.087038,6.2
41772.087085,6.4
41772.087130,7.2
41772.087177,12.6
41772.087223,4.9
41772.087269,4.7
41772.087316,10.9
41772.087362,8.6
41772.087408,3.9
41772.087454,5.1
41772.087501,5.7
41772.087547,9.8
41772.087593,5.0
41772.087640,5.0
41772.087686,5.1
41772.087732,6.6
41772.087779,11.7
41772.087825,10.1
