sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/,126,7,4,243,21.27810340597356,0.0,0.013494061167294123,0.04713696952676863,3577.0
/login,64,30,24,133,16.92763060012756,0.0,0.006854286333313449,0.37139655976943037,55485.0
/rtconsole,64,14,11,57,7.443537465479703,0.0,0.006854378828880111,0.3697683016466467,55241.0
/assets/images/basepanel.svg,128,7,3,187,19.39849728142218,0.0,0.013708807576857947,9.27921606612272E-4,69.3125
/esc,64,15,11,101,11.847624696009746,0.0,0.006854555751957619,0.2940898949282285,43934.0
/services/reports/v1/historical/totalServicesManaged,64,566,285,2405,290.19868597867566,0.0,0.006854201914935499,0.0012583886328201893,188.0
/services/reports/v1/historical/OrderBreakdown,64,362,270,1536,172.25111616905238,0.0,0.006855818704730171,0.0035818974678033613,535.0
/logout,64,144,16,447,113.06116983739378,0.0,0.006985698419758611,0.028584058963660723,4190.0
TOTAL,638,116,3,2405,216.62164630529978,0.0,0.06739642131341048,1.1009612371674784,16727.658307210033
