sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/,126,7,4,250,21.962759657916017,0.0,0.013528533610031214,0.04725738742488443,3577.0
/login,64,34,24,169,27.152761571109117,0.0,0.00687182057504683,0.3723466451235092,55485.0
/rtconsole,64,14,11,52,6.047258547267513,0.0,0.006871926826005175,0.3707149509720233,55241.0
/assets/images/basepanel.svg,128,7,3,212,22.561288056092895,0.0,0.013743917108717928,9.302981001933705E-4,69.3125
/topErrors,64,14,10,92,11.33147579752964,0.0,0.006872129007041785,0.23121627019493224,34453.0
/services/reports/v1/historical/jeaOrderErrorBreakdown,64,272,99,1081,135.90371347368512,0.0,0.006872002089088635,6.979377121730645E-4,104.0
/logout,64,28,14,445,64.44885781328867,0.0,0.006983055071318268,0.028573242918772994,4190.0
TOTAL,574,43,3,1081,97.25694239191412,0.0,0.06063573504719076,1.0342792861224979,17466.630662020907
